ViPhOG	Best_taxon	Rank	Min_score	Next_max_score
ViPhOG22672	Omegavirus	Genus	194.0	175.7
ViPhOG1033	Betaarterivirus	Genus	162.3	132.9
ViPhOG23417	Gordtnkvirus	Genus	409.9	368.2
ViPhOG233	Norovirus	Genus	43.8	nan
ViPhOG15395	Mimivirus	Genus	138.1	65.9
ViPhOG4816	Septimatrevirus	Genus	139.1	135.8
ViPhOG1344	Alphavirus	Genus	249.3	39.7
ViPhOG698	Metapneumovirus	Genus	287.8	39.7
ViPhOG27857	Helsingorvirus	Genus	207.8	203.2
ViPhOG3766	Asfivirus	Genus	301.0	218.0
ViPhOG24028	Emdodecavirus	Genus	399.2	226.1
ViPhOG8578	Cytomegalovirus	Genus	324.3	83.9
ViPhOG14187	Chunghsingvirus	Genus	315.5	155.2
ViPhOG19557	Pandoravirus	Genus	168.8	59.5
ViPhOG327	Lyssavirus	Genus	358.4	34.1
ViPhOG25216	Chlorovirus	Genus	583.1	101.1
ViPhOG7595	Mimivirus	Genus	147.7	128.3
ViPhOG12138	Jimmervirus	Genus	588.7	587.7
ViPhOG20062	Marseillevirus	Genus	1261.7	158.5
ViPhOG5958	Phicbkvirus	Genus	204.6	187.2
ViPhOG7885	Mimivirus	Genus	219.4	87.1
ViPhOG10928	Mardecavirus	Genus	183.2	162.5
ViPhOG349	Lentivirus	Genus	66.9	nan
ViPhOG25494	Alphavirus	Genus	46.3	nan
ViPhOG733	Pestivirus	Genus	33.6	nan
ViPhOG6677	Metapneumovirus	Genus	208.3	96.3
ViPhOG17569	Mimivirus	Genus	237.7	199.6
ViPhOG24502	Patiencevirus	Genus	4635.5	2277.8
ViPhOG1349	Alphavirus	Genus	49.3	nan
ViPhOG7800	Mimivirus	Genus	313.8	268.8
ViPhOG14441	Chenonavirus	Genus	216.5	215.9
ViPhOG2039	Lentivirus	Genus	1062.3	nan
ViPhOG9503	Liefievirus	Genus	524.3	522.0
ViPhOG11069	Bixzunavirus	Genus	581.8	175.5
ViPhOG10978	Bixzunavirus	Genus	2292.7	157.5
ViPhOG12311	Prasinovirus	Genus	166.0	150.3
ViPhOG17063	Ascovirus	Genus	115.9	113.2
ViPhOG19161	Pandoravirus	Genus	133.4	101.9
ViPhOG10460	Fletchervirus	Genus	164.5	147.4
ViPhOG6515	Megalocytivirus	Genus	219.3	83.8
ViPhOG16942	Seuratvirus	Genus	255.4	226.3
ViPhOG27083	Yokohamavirus	Genus	117.2	52.8
ViPhOG10819	Pegunavirus	Genus	3139.4	2920.0
ViPhOG1020	Betaarterivirus	Genus	53.3	43.0
ViPhOG211	Deltavirus	Genus	118.4	nan
ViPhOG17069	Ascovirus	Genus	405.2	73.1
ViPhOG8365	Ranavirus	Genus	147.4	134.6
ViPhOG19493	Pandoravirus	Genus	94.2	59.6
ViPhOG30929	Liefievirus	Genus	337.2	274.5
ViPhOG24481	Phicbkvirus	Genus	265.0	226.5
ViPhOG7479	Mimivirus	Genus	628.5	538.1
ViPhOG24479	Cronusvirus	Genus	547.2	514.7
ViPhOG18918	Pandoravirus	Genus	164.6	142.7
ViPhOG13787	Webervirus	Genus	353.6	338.4
